product_name,description1,description2,description3
Kycklinginnerfilé Fryst 700g Kronfågel,,"0.7kg(92,79 kr/kg), Sverige","64,95 kr"
Skinka Rökt 200g ICA,,"0.2kg(124,75 kr/kg)","24,95 kr"
Hamburgare 4-p 113g 452g ICA,,"0.452kg(110,51 kr/kg), Sverige","49,95 kr"
Herrgård mild 28% ca 730g Arla Ko,,"Ca0.73kg(118,00 kr/kg), Sverige","Ca86,14 kr"
Lingongrova Special 500g Pågen,,"0.5kg(59,00 kr/kg), Sverige","29,50 kr"
Roast'n toast Rostbröd 800g Pågen,,"0.8kg(39,94 kr/kg), Sverige","31,95 kr"
Mango Bitar Fryst 500g Ica Basic,,"0.5kg(49,00 kr/kg)","24,50 kr"
Salladslök ca 125g Klass 1 ICA,,"0.125kg(159,60 kr/kg), Sverige","19,95 kr"
Filmjölk 3% 1500g Arla Ko®,,"1.5L(12,63 kr/l), Sverige","18,95 kr"
"Läsk 1,5l Trocadero Zero",,"1.5L(10,33 kr/l exkl pant), Pant 2,00 kr","15,50 kr"
Kebab klassisk 275g Schysst Käk,,"0.275kg(174,36 kr/kg), Sverige","47,95 kr"
Tunnbröd Sarek 375g Polarbröd,,"0.375kg(61,20 kr/kg), Sverige","22,95 kr"
Grillkorv 500g ICA,,"0.5kg(47,00 kr/kg), Sverige","23,50 kr"
Ketchup Original 1kg Felix,,"1kg(33,50 kr/kg)","33,50 kr"
Äpplejuice 2l Bravo,,"2L(15,48 kr/l)","30,95 kr"
Kaviar original 300g Kalles,,"0.3kg(105,00 kr/kg)","31,50 kr"
Köttbullar Små Delikatess Fryst 420g Felix,,"0.42kg(118,93 kr/kg)","49,95 kr"
Tonfisk i olja 170g ICA,,"0.12kg(166,25 kr/kg u. spad)","19,95 kr"
Hönö Jollekaka 400g Pågen,,"0.4kg(66,25 kr/kg), Sverige","26,50 kr"
Lök vit Morado 1 pack Klass 1 ICA,,"0.075kg(172,67 kr/kg), Spanien","12,95 kr"
Korvbröd 10-p 270g Korvbrödsbagarn,,"0.27kg(77,59 kr/kg), Sverige","20,95 kr"
Fil Naturell 3% 1kg ICA,,"1kg(11,95 kr/kg), Sverige","11,95 kr"
Champinjoner Skivade 290g ICA,,"0.17kg(76,18 kr/kg u. spad)","12,95 kr"
Majskorn 198g 3-p ICA,,"0.495kg(62,53 kr/kg u. spad)","30,95 kr"
Rågkaka 30-p 900g Polarbröd,,"0.9kg(36,61 kr/kg), Sverige","32,95 kr"
